ID	cfDNA_TF	chr	start	end	tumor_log2_ratio	plasma_log2_ratio		
WLOS_0001	0.04445	1	1000001	2000000	0.283499019	-0.031359903		
WLOS_0001	0.04445	1	2000001	3000000	0.28495278	-0.006255345		
WLOS_0001	0.04445	1	3000001	4000000	0.257229927	-0.072041524		
WLOS_0001	0.04445	1	4000001	5000000	0.255562375	-0.05435221		
WLOS_0001	0.04445	1	5000001	6000000	0.28512138	-0.032615781		
WLOS_0001	0.04445	1	6000001	7000000	0.305000276	-0.059824364		
WLOS_0001	0.04445	1	7000001	8000000	0.334201788	0.052014607		
WLOS_0001	0.04445	1	8000001	9000000	0.322024679	0.017862236		
WLOS_0001	0.04445	1	9000001	10000000	0.350054323	0.013022011		
WLOS_0001	0.04445	1	10000001	11000000	0.343034446	0.036293423		
WLOS_0001	0.04445	1	11000001	12000000	0.32496353	-0.0016988		
WLOS_0001	0.04445	1	12000001	13000000	0.299292982	0.026584459		
WLOS_0001	0.04445	1	13000001	14000000	0.309939684	0.018029289		
WLOS_0001	0.04445	1	14000001	15000000	0.32612271	0.035961875		
WLOS_0001	0.04445	1	15000001	16000000	0.292613985	0.034423619		
WLOS_0001	0.04445	1	16000001	17000000	0.346851615	0.054845984		
WLOS_0001	0.04445	1	17000001	18000000	0.307892923	0.096720495		
WLOS_0001	0.04445	1	18000001	19000000	0.328954835	0.121809652		
WLOS_0001	0.04445	1	19000001	20000000	0.258336249	-0.056473786		
WLOS_0001	0.04445	1	20000001	21000000	0.253715214	0.015059969		
WLOS_0001	0.04445	1	21000001	22000000	0.310452963	-0.000487909		
WLOS_0001	0.04445	1	22000001	23000000	0.269216545	0.001927606		
WLOS_0001	0.04445	1	23000001	24000000	0.279995199	-0.072302701		
WLOS_0001	0.04445	1	24000001	25000000	0.341939935	0.059010429		
WLOS_0001	0.04445	1	25000001	26000000	0.331036235	-0.049792757		
WLOS_0001	0.04445	1	26000001	27000000	0.314773074	-0.026986792		
WLOS_0001	0.04445	1	27000001	28000000	0.306026442	-0.079324078		
WLOS_0001	0.04445	1	28000001	29000000	0.334149325	0.029323773		
WLOS_0001	0.04445	1	29000001	30000000	0.330829134	0.005284212		
WLOS_0001	0.04445	1	30000001	31000000	0.307952651	0.018632369		
WLOS_0001	0.04445	1	31000001	32000000	0.292187762	-0.02743132		
WLOS_0001	0.04445	1	32000001	33000000	0.363537413	0.023078674		
WLOS_0001	0.04445	1	33000001	34000000	0.381093252	-0.001206963		
WLOS_0001	0.04445	1	34000001	35000000	0.267367067	-0.07106675		
WLOS_0001	0.04445	1	35000001	36000000	0.306874792	-0.120516388		
WLOS_0001	0.04445	1	36000001	37000000	0.307267336	0.082787579		
WLOS_0001	0.04445	1	37000001	38000000	0.32471305	-0.003099374		
WLOS_0001	0.04445	1	38000001	39000000	0.307252606	0.008702876		
WLOS_0001	0.04445	1	39000001	40000000	0.321670976	0.063968864		
WLOS_0001	0.04445	1	40000001	41000000	0.366918066	0.079998186		
WLOS_0001	0.04445	1	41000001	42000000	0.338489141	0.117199343		
WLOS_0001	0.04445	1	42000001	43000000	0.323156459	0.029897556		
WLOS_0001	0.04445	1	43000001	44000000	0.35838701	0.0285797		
WLOS_0001	0.04445	1	44000001	45000000	0.292939878	-0.080115057		
WLOS_0001	0.04445	1	45000001	46000000	0.275512693	-0.003661338		
WLOS_0001	0.04445	1	46000001	47000000	0.295132706	0.023769137		
WLOS_0001	0.04445	1	47000001	48000000	0.302590066	0.081160881		
WLOS_0001	0.04445	1	48000001	49000000	0.302751837	-0.045793657		
WLOS_0001	0.04445	1	49000001	50000000	0.278146619	0.030262261		
WLOS_0001	0.04445	1	50000001	51000000	0.285957618	-0.000564661		
WLOS_0001	0.04445	1	51000001	52000000	0.277566671	-0.039907264		
WLOS_0001	0.04445	1	52000001	53000000	0.280755178	-0.037965165		
WLOS_0001	0.04445	1	53000001	54000000	0.320907497	0.024665266		
WLOS_0001	0.04445	1	54000001	55000000	0.337975449	0.037545843		
WLOS_0001	0.04445	1	55000001	56000000	0.28753392	0.057931857		
WLOS_0001	0.04445	1	56000001	57000000	0.299936735	0.043092776		
WLOS_0001	0.04445	1	57000001	58000000	0.311848547	0.070495811		
WLOS_0001	0.04445	1	58000001	59000000	0.289350323	0.022484649		
WLOS_0001	0.04445	1	59000001	60000000	0.29902089	0.028079748		
WLOS_0001	0.04445	1	60000001	61000000	0.36912863	0.046869998		
WLOS_0001	0.04445	1	61000001	62000000	0.314085375	0.019497058		
WLOS_0001	0.04445	1	62000001	63000000	0.270055144	-0.027868382		
WLOS_0001	0.04445	1	63000001	64000000	0.294719082	-0.030500264		
WLOS_0001	0.04445	1	64000001	65000000	0.301978674	-0.029621233		
WLOS_0001	0.04445	1	65000001	66000000	0.292643726	-0.058922907		
