Medical_record_number	Sample_ID	Short_ID	Sample_ID	Plasma_ID	Medical_record_number	replicate	Cohort	Institution	DNA_conc	Plasma_volume_estimated	TF	short.count	long.count	Fragment_size_ratio	Modal_fragment_length	Modal_fragment_count	Sample_type	Date_of_birth	Date_of_diagnosis	Date_of_sample	Date_of_progressive_disease	Last_known_date_if_no_progression	PFS	PFS_censor	Date_of_death	Last_known_date_if_still_alive	OST	OST_censor	Age_at_sample	Overall_survival	Sex	Spay.neuter.status	Breed	Weight_kg	Primary_diagnosis	Subtype	Tumor_location	Tumor_size	Other_diagnoses	Blood_draw_site	Blood_draw_site_side	Blood_draw_time	Time_of_Day	Sample_time_point	Disease_status	Cancer_type	tumor_cfDNA	First_Sample	Tumor_data	Normal_data	ULPWGS_data_cf3	ULPWGS_data_cf4	WES_data	CBC_data	Date.of.CBC	Total lymph node size	
408932	ARM_408932.cfDNA_D1_T0.FC19664746	ARM_408932	ARM_408932.cfDNA_D1_T0.FC19664746	ARM_408932.cfDNA_D1_T0	408932	Rep1	ARM	Tufts	11.05	FALSE	0.1723	522570	606857	0.86110896	152	20545	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Left	NA	NA	Day 1 Hour 0	NA	Lymphoma	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
408932	ARM_408932.cfDNA_D1_T0.FC19664845	ARM_408932	ARM_408932.cfDNA_D1_T0.FC19664845	ARM_408932.cfDNA_D1_T0	408932	Rep2	ARM	Tufts	8.01	FALSE	0.2455	790578	1239805	0.63766318	152	40380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Left	NA	NA	Day 1 Hour 0	NA	Lymphoma	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
408932	ARM_408932.cfDNA_D1_T12.FC19664739	ARM_408932	ARM_408932.cfDNA_D1_T12.FC19664739	ARM_408932.cfDNA_D1_T12	408932	Rep1	ARM	Tufts	6.27	FALSE	0.08852	290131	415152	0.69885488	153	10399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Right	NA	NA	Day 1 Hour 12	NA	Lymphoma	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
408932	ARM_408932.cfDNA_D1_T12.FC19664842	ARM_408932	ARM_408932.cfDNA_D1_T12.FC19664842	ARM_408932.cfDNA_D1_T12	408932	Rep2	ARM	Tufts	5.25	FALSE	0.09986	221839	540276	0.4106031	163	12486	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Right	NA	NA	Day 1 Hour 12	NA	Lymphoma	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
408932	ARM_408932.cfDNA_D1_T6.FC17907733	ARM_408932	ARM_408932.cfDNA_D1_T6.FC17907733	ARM_408932.cfDNA_D1_T6	408932	Rep1	ARM	Tufts	6.51	FALSE	0.2189	541290	520750	1.03944311	142	20789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Right	NA	NA	Day 1 Hour 6	NA	Lymphoma	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
408932	ARM_408932.cfDNA_D1_T6.FC19664844	ARM_408932	ARM_408932.cfDNA_D1_T6.FC19664844	ARM_408932.cfDNA_D1_T6	408932	Rep2	ARM	Tufts	5.78	FALSE	0.2315	613981	637663	0.96286126	142	26443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Right	NA	NA	Day 1 Hour 6	NA	Lymphoma	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
408932	ARM_408932.cfDNA_D9_T24.FC19664747	ARM_408932	ARM_408932.cfDNA_D9_T24.FC19664747	ARM_408932.cfDNA_D9_T24	408932	Rep1	ARM	Tufts	6.77	FALSE	0.04479	110333	158082	0.6979479	153	3724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Right	NA	NA	Day 10 Hour 0	NA	Lymphoma	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
408932	ARM_408932.cfDNA_D9_T24.FC19664848	ARM_408932	ARM_408932.cfDNA_D9_T24.FC19664848	ARM_408932.cfDNA_D9_T24	408932	Rep2	ARM	Tufts	6.6	FALSE	0.04328	242347	560078	0.43270223	163	12740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Right	NA	NA	Day 10 Hour 0	NA	Lymphoma	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
408932	ARM_408932.cfDNA_D2_T0.FC19664740	ARM_408932	ARM_408932.cfDNA_D2_T0.FC19664740	ARM_408932.cfDNA_D2_T0	408932	Rep1	ARM	Tufts	8.84	FALSE	0.358	540146	1340012	0.40309042	168	35973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Right	NA	NA	Day 2 Hour 0	NA	Lymphoma	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
408932	ARM_408932.cfDNA_D2_T0.FC19664843	ARM_408932	ARM_408932.cfDNA_D2_T0.FC19664843	ARM_408932.cfDNA_D2_T0	408932	Rep2	ARM	Tufts	6.83	FALSE	0.3887	719071	2105922	0.34145187	169	57739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	NA	M	Y	gordon setter	NA	Lymphoma	epitheliotrophic	NA	NA	NA	Jugular	Right	NA	NA	Day 2 Hour 0	NA	Lymphoma	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	
